target,source,year,size,count,date
Canada,Australia,1990,68.285,1,31/12/1990
Canada,Australia,1992,6.841,1,31/12/1992
Canada,Australia,1994,25.27,2,31/12/1994
Canada,Australia,1995,27.994,1,31/12/1995
Canada,Australia,1996,21.166,4,31/12/1996
Canada,Australia,1997,609.011,4,31/12/1997
Canada,Australia,1999,110.816,4,31/12/1999
Canada,Australia,2000,58.275,5,31/12/2000
Canada,Australia,2001,58.576,7,31/12/2001
Canada,Australia,2002,11.859,4,31/12/2002
Canada,Australia,2003,5.948,3,31/12/2003
Canada,Australia,2004,13.909,4,31/12/2004
Canada,Australia,2005,734.11,14,31/12/2005
Canada,Australia,2006,209.553,5,31/12/2006
Canada,Australia,2007,1650.276,17,31/12/2007
Canada,Australia,2008,534.509,12,31/12/2008
Canada,Australia,2009,247.715,13,31/12/2009
Canada,Australia,2010,1801.409,19,31/12/2010
Canada,Australia,2011,5115.564,13,31/12/2011
Canada,Australia,2012,810.003,11,31/12/2012
Canada,Australia,2013,147.466,11,31/12/2013
Canada,Australia,2014,50.482,4,31/12/2014
Chile,Australia,1996,5.7,1,31/12/1996
Chile,Australia,1997,8.899,1,31/12/1997
Chile,Australia,1998,25,1,31/12/1998
Chile,Australia,2000,6.9,1,31/12/2000
Chile,Australia,2001,8.1,1,31/12/2001
Chile,Australia,2003,75.6,1,31/12/2003
Chile,Australia,2004,14.35,4,31/12/2004
Chile,Australia,2005,23.5,1,31/12/2005
Chile,Australia,2007,38.301,5,31/12/2007
Chile,Australia,2008,19.55,2,31/12/2008
Chile,Australia,2009,26.944,4,31/12/2009
Chile,Australia,2010,76.162,9,31/12/2010
Chile,Australia,2011,113.536,8,31/12/2011
Chile,Australia,2012,31.718,3,31/12/2012
Chile,Australia,2013,69.242,10,31/12/2013
Chile,Australia,2014,2.95,2,31/12/2014
China,Australia,1993,3.876,1,31/12/1993
China,Australia,1994,127.053,3,31/12/1994
China,Australia,1995,81.559,1,31/12/1995
China,Australia,1997,3.121,1,31/12/1997
China,Australia,1998,6.167,1,31/12/1998
China,Australia,1999,6.629,1,31/12/1999
China,Australia,2000,545.266,3,31/12/2000
China,Australia,2001,15.153,1,31/12/2001
China,Australia,2003,11.99,3,31/12/2003
China,Australia,2004,15.713,5,31/12/2004
China,Australia,2005,6.885,4,31/12/2005
China,Australia,2006,593.182,8,31/12/2006
China,Australia,2007,169.224,5,31/12/2007
China,Australia,2008,1.474,1,31/12/2008
China,Australia,2009,313.494,9,31/12/2009
China,Australia,2010,151.362,7,31/12/2010
China,Australia,2011,57.639,5,31/12/2011
China,Australia,2012,7.391,2,31/12/2012
China,Australia,2013,199.548,3,31/12/2013
China,Australia,2014,192.216,3,31/12/2014
Colombia,Australia,1992,12.832,2,31/12/1992
Colombia,Australia,2005,21.281,1,31/12/2005
Colombia,Australia,2006,0.008,1,31/12/2006
Colombia,Australia,2008,41.846,2,31/12/2008
Colombia,Australia,2010,2.038,1,31/12/2010
Colombia,Australia,2011,37.18,2,31/12/2011
Colombia,Australia,2013,1.365,1,31/12/2013
Colombia,Australia,2014,0.2,1,31/12/2014
Costa Rica,Australia,2012,9.9,1,31/12/2012
Cyprus,Australia,2006,12.584,1,31/12/2006
Cyprus,Australia,2011,5.751,1,31/12/2011
Cyprus,Australia,2012,3.312,2,31/12/2012
Czech Republic,Australia,2005,139.626,1,31/12/2005
Czech Republic,Australia,2006,18,1,31/12/2006
Czech Republic,Australia,2010,763.907,1,31/12/2010
Czech Republic,Australia,2011,0.763,1,31/12/2011
Denmark,Australia,2001,305.717,1,31/12/2001
Denmark,Australia,2002,1.614,1,31/12/2002
Denmark,Australia,2009,12.495,1,31/12/2009
Denmark,Australia,2012,26,1,31/12/2012
Ecuador,Australia,2009,7.75,2,31/12/2009
Ecuador,Australia,2012,5.092,1,31/12/2012
Egypt,Australia,1998,24.1,1,31/12/1998
Eritrea,Australia,1999,27.511,1,31/12/1999
Estonia,Australia,2002,0.41,1,31/12/2002
Fiji,Australia,1999,4.852,1,31/12/1999
Fiji,Australia,2001,49.73,1,31/12/2001
Fiji,Australia,2003,4.187,1,31/12/2003
Fiji,Australia,2004,1.123,1,31/12/2004
Fiji,Australia,2005,8.027,1,31/12/2005
Fiji,Australia,2006,1.008,1,31/12/2006
Fiji,Australia,2007,13.236,2,31/12/2007
Fiji,Australia,2012,60.656,1,31/12/2012
Finland,Australia,1995,118.7,1,31/12/1995
Finland,Australia,2003,11.436,1,31/12/2003
Finland,Australia,2004,1.252,1,31/12/2004
Finland,Australia,2006,115.137,1,31/12/2006
Finland,Australia,2007,129.6,1,31/12/2007
Finland,Australia,2009,7.113,1,31/12/2009
Finland,Australia,2011,12.426,1,31/12/2011
Finland,Australia,2012,12.29,1,31/12/2012
France,Australia,1990,31.434,1,31/12/1990
France,Australia,1991,31.025,1,31/12/1991
France,Australia,1992,78.454,2,31/12/1992
France,Australia,1994,4.994,1,31/12/1994
France,Australia,1995,3.384,1,31/12/1995
France,Australia,1996,3.182,1,31/12/1996
France,Australia,2000,11.863,1,31/12/2000
France,Australia,2004,1.659,1,31/12/2004
France,Australia,2005,45.425,1,31/12/2005
France,Australia,2006,100.757,2,31/12/2006
France,Australia,2007,270.215,2,31/12/2007
France,Australia,2008,50.949,1,31/12/2008
France,Australia,2009,2027.174,2,31/12/2009
France,Australia,2010,125.414,1,31/12/2010
France,Australia,2011,263.957,2,31/12/2011
France,Australia,2012,128.902,2,31/12/2012
France,Australia,2013,258.167,2,31/12/2013
France,Australia,2014,1113.373,3,31/12/2014
Gabon,Australia,2012,4.429,2,31/12/2012
Gambia,Australia,2008,0.034,1,31/12/2008
Georgia,Australia,2005,10,1,31/12/2005
Germany,Australia,1989,79.46,1,31/12/1989
Germany,Australia,1991,33.016,1,31/12/1991
Germany,Australia,1993,179.982,1,31/12/1993
Germany,Australia,1994,193.357,2,31/12/1994
Germany,Australia,1996,52,1,31/12/1996
Germany,Australia,1997,86.399,2,31/12/1997
Germany,Australia,1998,31.587,1,31/12/1998
Germany,Australia,2000,44.188,2,31/12/2000
Germany,Australia,2001,14.596,2,31/12/2001
Germany,Australia,2002,1586.244,4,31/12/2002
Germany,Australia,2004,165.713,6,31/12/2004
Germany,Australia,2005,2369.712,10,31/12/2005
Germany,Australia,2006,1662.504,8,31/12/2006
Germany,Australia,2007,1550.201,9,31/12/2007
Germany,Australia,2008,14.481,2,31/12/2008
Germany,Australia,2009,15.367,1,31/12/2009
Germany,Australia,2011,87.902,2,31/12/2011
Germany,Australia,2012,30.14,1,31/12/2012
Germany,Australia,2013,161.943,4,31/12/2013
Germany,Australia,2014,93.933,2,31/12/2014
Ghana,Australia,2003,5.873,1,31/12/2003
Ghana,Australia,2006,3.452,4,31/12/2006
Ghana,Australia,2008,20,1,31/12/2008
Ghana,Australia,2009,3.954,2,31/12/2009
Ghana,Australia,2010,2.064,3,31/12/2010
Ghana,Australia,2013,1.064,2,31/12/2013
Greece,Australia,2001,56.628,2,31/12/2001
Greece,Australia,2005,80.634,1,31/12/2005
Greece,Australia,2011,47.577,1,31/12/2011
Guatemala,Australia,2005,16.296,1,31/12/2005
Guatemala,Australia,2010,1.84,1,31/12/2010
Guatemala,Australia,2012,0.812,1,31/12/2012
Guinea,Australia,2003,0.297,1,31/12/2003
Guinea,Australia,2006,0.5,1,31/12/2006
Guyana,Australia,2010,1.499,2,31/12/2010
Guyana,Australia,2012,0.726,1,31/12/2012
Hungary,Australia,1989,3.872,1,31/12/1989
Hungary,Australia,1999,41.88,1,31/12/1999
Hungary,Australia,2007,268.637,1,31/12/2007
Hungary,Australia,2012,8.1,1,31/12/2012
Hungary,Australia,2014,3.651,1,31/12/2014
India,Australia,1995,3.216,1,31/12/1995
India,Australia,1997,14.145,1,31/12/1997
India,Australia,1998,7.5,1,31/12/1998
India,Australia,2001,3.398,1,31/12/2001
India,Australia,2003,14.483,1,31/12/2003
India,Australia,2004,7.634,1,31/12/2004
India,Australia,2005,34.605,5,31/12/2005
India,Australia,2006,15.909,3,31/12/2006
India,Australia,2007,1.543,1,31/12/2007
India,Australia,2010,13.469,1,31/12/2010
India,Australia,2011,0.522,2,31/12/2011
India,Australia,2012,20.737,1,31/12/2012
India,Australia,2013,3.97,1,31/12/2013
Indonesia,Australia,1986,70.622,1,31/12/1986
Indonesia,Australia,1994,16.191,2,31/12/1994
Indonesia,Australia,1996,2.791,2,31/12/1996
Indonesia,Australia,1997,84.529,1,31/12/1997
Indonesia,Australia,1999,10.551,3,31/12/1999
Indonesia,Australia,2002,1,1,31/12/2002
Indonesia,Australia,2005,27.006,1,31/12/2005
Indonesia,Australia,2006,19.847,1,31/12/2006
Indonesia,Australia,2007,615.797,5,31/12/2007
Indonesia,Australia,2008,17.386,5,31/12/2008
Indonesia,Australia,2009,67.198,8,31/12/2009
Indonesia,Australia,2010,409.208,15,31/12/2010
Indonesia,Australia,2011,73.523,16,31/12/2011
Indonesia,Australia,2012,86.964,14,31/12/2012
Indonesia,Australia,2013,223.482,6,31/12/2013
Indonesia,Australia,2014,50.078,4,31/12/2014
Israel,Australia,1998,25.162,1,31/12/1998
Israel,Australia,1999,37.498,1,31/12/1999
Israel,Australia,2005,14.382,1,31/12/2005
Israel,Australia,2006,12.639,2,31/12/2006
Israel,Australia,2007,212.324,1,31/12/2007
Italy,Australia,1987,100,1,31/12/1987
Italy,Australia,1990,8.731,1,31/12/1990
Italy,Australia,1992,25.455,1,31/12/1992
Italy,Australia,1997,83.332,2,31/12/1997
Italy,Australia,1998,989.338,2,31/12/1998
Italy,Australia,1999,18.784,1,31/12/1999
Italy,Australia,2000,18,1,31/12/2000
Italy,Australia,2002,918.558,2,31/12/2002
Italy,Australia,2003,42.304,1,31/12/2003
Italy,Australia,2006,12.223,1,31/12/2006
Italy,Australia,2007,279.523,2,31/12/2007
Italy,Australia,2008,0.999,1,31/12/2008
Italy,Australia,2010,58.607,1,31/12/2010
Japan,Australia,1996,385.854,1,31/12/1996
Japan,Australia,2000,0.55,1,31/12/2000
Japan,Australia,2003,10.604,1,31/12/2003
Japan,Australia,2004,1.807,1,31/12/2004
Japan,Australia,2005,760.738,2,31/12/2005
Japan,Australia,2007,389.644,3,31/12/2007
Japan,Australia,2009,110.632,4,31/12/2009
Japan,Australia,2013,123.349,2,31/12/2013
Kazakhstan,Australia,2007,2.822,2,31/12/2007
Kazakhstan,Australia,2008,62.2,3,31/12/2008
Kazakhstan,Australia,2012,103.7,1,31/12/2012
Kenya,Australia,2010,3,1,31/12/2010
Kyrgyzstan,Australia,2002,9.993,8,31/12/2002
Kyrgyzstan,Australia,2004,2.3,1,31/12/2004
Kyrgyzstan,Australia,2006,0.671,1,31/12/2006
Kyrgyzstan,Australia,2007,23.318,3,31/12/2007
Kyrgyzstan,Australia,2008,4.663,1,31/12/2008
Kyrgyzstan,Australia,2009,15.714,2,31/12/2009
Kyrgyzstan,Australia,2010,4.25,1,31/12/2010
Kyrgyzstan,Australia,2011,3.929,1,31/12/2011
Kyrgyzstan,Australia,2013,52.25,4,31/12/2013
Liberia,Australia,2012,4.77,1,31/12/2012
Luxembourg,Australia,2006,1660.206,3,31/12/2006
Luxembourg,Australia,2007,77.076,1,31/12/2007
Luxembourg,Australia,2011,1655.039,1,31/12/2011
Madagascar,Australia,2010,0.278,1,31/12/2010
Malawi,Australia,2007,4,1,31/12/2007
Malaysia,Australia,1993,5.772,1,31/12/1993
Malaysia,Australia,1994,0.649,1,31/12/1994
Malaysia,Australia,1995,8.139,2,31/12/1995
Malaysia,Australia,1996,10.799,2,31/12/1996
Malaysia,Australia,1998,47.304,1,31/12/1998
Malaysia,Australia,1999,18.89,1,31/12/1999
Malaysia,Australia,2000,0.8,1,31/12/2000
Malaysia,Australia,2001,28.444,1,31/12/2001
Malaysia,Australia,2003,10.864,2,31/12/2003
Malaysia,Australia,2004,1.33,2,31/12/2004
Malaysia,Australia,2005,0.733,1,31/12/2005
Malaysia,Australia,2006,187.45,3,31/12/2006
Malaysia,Australia,2007,86.818,4,31/12/2007
Malaysia,Australia,2008,15.604,5,31/12/2008
Malaysia,Australia,2010,49.254,3,31/12/2010
Malaysia,Australia,2011,1.155,1,31/12/2011
Malaysia,Australia,2013,129.086,2,31/12/2013
Malaysia,Australia,2014,180.333,10,31/12/2014
Mali,Australia,2003,13,1,31/12/2003
Mali,Australia,2009,5,1,31/12/2009
Mali,Australia,2013,2.175,1,31/12/2013
Mauritania,Australia,2003,77,1,31/12/2003
Mauritania,Australia,2010,28.868,2,31/12/2010
Mauritania,Australia,2011,14.4,1,31/12/2011
Mauritius,Australia,2011,32.642,1,31/12/2011
Mauritius,Australia,2013,7.173,1,31/12/2013
Mauritius,Australia,2014,508.98,1,31/12/2014
Mexico,Australia,1996,0.275,1,31/12/1996
Mexico,Australia,2001,24,1,31/12/2001
Mexico,Australia,2003,60,1,31/12/2003
Mexico,Australia,2006,0.79,1,31/12/2006
Mexico,Australia,2008,2.737,2,31/12/2008
Mexico,Australia,2010,144.183,4,31/12/2010
Mexico,Australia,2011,9,1,31/12/2011
Mexico,Australia,2012,126.735,3,31/12/2012
Mexico,Australia,2013,678.413,5,31/12/2013
Mexico,Australia,2014,57.574,1,31/12/2014
Mongolia,Australia,2006,0.458,2,31/12/2006
Mongolia,Australia,2009,8,1,31/12/2009
Mongolia,Australia,2010,21.244,4,31/12/2010
Mongolia,Australia,2011,100.492,7,31/12/2011
Mongolia,Australia,2012,77.609,4,31/12/2012
Mongolia,Australia,2014,4.493,2,31/12/2014
Mozambique,Australia,2002,87.5,1,31/12/2002
Mozambique,Australia,2006,9.109,1,31/12/2006
Mozambique,Australia,2007,51.042,1,31/12/2007
Mozambique,Australia,2011,5.772,3,31/12/2011
Mozambique,Australia,2013,0.463,1,31/12/2013
Mozambique,Australia,2014,2.489,2,31/12/2014
Namibia,Australia,1996,35.351,1,31/12/1996
Namibia,Australia,1998,7,1,31/12/1998
Namibia,Australia,2003,0.352,1,31/12/2003
Namibia,Australia,2006,14.655,2,31/12/2006
Namibia,Australia,2008,15.017,2,31/12/2008
Namibia,Australia,2010,58.307,2,31/12/2010
Namibia,Australia,2014,0.022,1,31/12/2014
Netherlands,Australia,1989,37.05,1,31/12/1989
Netherlands,Australia,1990,12.008,1,31/12/1990
Netherlands,Australia,1992,148.875,1,31/12/1992
Netherlands,Australia,1993,89.25,1,31/12/1993
Netherlands,Australia,1997,0.845,1,31/12/1997
Netherlands,Australia,1998,155.678,3,31/12/1998
Netherlands,Australia,1999,17.29,1,31/12/1999
Netherlands,Australia,2001,38,1,31/12/2001
Netherlands,Australia,2003,781.475,1,31/12/2003
Netherlands,Australia,2004,0.005,1,31/12/2004
Netherlands,Australia,2005,246.46,1,31/12/2005
Netherlands,Australia,2006,175.881,4,31/12/2006
Netherlands,Australia,2007,769.022,1,31/12/2007
Netherlands,Australia,2011,24.409,2,31/12/2011
Netherlands,Australia,2012,1.073,1,31/12/2012
Netherlands,Australia,2013,32.109,1,31/12/2013
New Zealand,Australia,1988,449.415,2,31/12/1988
New Zealand,Australia,1989,292.5,2,31/12/1989
New Zealand,Australia,1990,135.186,3,31/12/1990
New Zealand,Australia,1991,47.751,1,31/12/1991
New Zealand,Australia,1992,203.736,5,31/12/1992
New Zealand,Australia,1993,106.683,6,31/12/1993
New Zealand,Australia,1994,49.122,4,31/12/1994
New Zealand,Australia,1995,10.43,2,31/12/1995
New Zealand,Australia,1996,470.594,6,31/12/1996
New Zealand,Australia,1997,258.636,10,31/12/1997
New Zealand,Australia,1998,91.509,7,31/12/1998
New Zealand,Australia,1999,301.445,13,31/12/1999
New Zealand,Australia,2000,651.846,14,31/12/2000
New Zealand,Australia,2001,1426.607,19,31/12/2001
New Zealand,Australia,2002,569.442,15,31/12/2002
New Zealand,Australia,2003,4683.401,21,31/12/2003
New Zealand,Australia,2004,2215.009,24,31/12/2004
New Zealand,Australia,2005,2765.772,32,31/12/2005
New Zealand,Australia,2006,1916.997,37,31/12/2006
New Zealand,Australia,2007,974.687,35,31/12/2007
New Zealand,Australia,2008,235.244,7,31/12/2008
New Zealand,Australia,2009,221.515,6,31/12/2009
New Zealand,Australia,2010,213.237,8,31/12/2010
New Zealand,Australia,2011,349.439,4,31/12/2011
New Zealand,Australia,2012,158.996,9,31/12/2012
New Zealand,Australia,2013,328.558,10,31/12/2013
New Zealand,Australia,2014,431.802,13,31/12/2014
Niger,Australia,2007,0.078,1,31/12/2007
Nigeria,Australia,2011,16,1,31/12/2011
Norway,Australia,1999,7.416,1,31/12/1999
Norway,Australia,2000,144.825,2,31/12/2000
Norway,Australia,2002,27.952,2,31/12/2002
Norway,Australia,2005,2387.674,2,31/12/2005
Norway,Australia,2008,3.7,1,31/12/2008
Norway,Australia,2011,157.7,1,31/12/2011
Norway,Australia,2013,191.826,1,31/12/2013
Oman,Australia,1997,26.493,1,31/12/1997
Oman,Australia,2011,3.001,1,31/12/2011
Panama,Australia,2007,4,1,31/12/2007
Peru,Australia,1997,36.999,1,31/12/1997
Peru,Australia,1998,0.3,1,31/12/1998
Peru,Australia,2005,1.651,1,31/12/2005
Peru,Australia,2006,38.362,3,31/12/2006
Peru,Australia,2007,4.876,4,31/12/2007
Peru,Australia,2008,58.2,1,31/12/2008
Peru,Australia,2009,28,1,31/12/2009
Peru,Australia,2010,7.228,1,31/12/2010
Peru,Australia,2011,13.837,4,31/12/2011
Peru,Australia,2012,5.727,2,31/12/2012
Peru,Australia,2013,4.27,1,31/12/2013
Peru,Australia,2014,6,2,31/12/2014
Philippines,Australia,1993,2.2,1,31/12/1993
Philippines,Australia,1996,75.124,1,31/12/1996
Philippines,Australia,1997,1.393,1,31/12/1997
Philippines,Australia,2004,36.018,2,31/12/2004
Philippines,Australia,2006,13.447,2,31/12/2006
Philippines,Australia,2007,1.5,1,31/12/2007
Philippines,Australia,2010,70.153,2,31/12/2010
Philippines,Australia,2011,73.409,6,31/12/2011
Philippines,Australia,2012,21.751,3,31/12/2012
Philippines,Australia,2013,38.75,1,31/12/2013
Philippines,Australia,2014,4.211,2,31/12/2014
Poland,Australia,1999,25.001,1,31/12/1999
Poland,Australia,2005,72.95,2,31/12/2005
Poland,Australia,2006,108.489,2,31/12/2006
Poland,Australia,2007,315.36,6,31/12/2007
Poland,Australia,2008,21,1,31/12/2008
Poland,Australia,2010,9.008,1,31/12/2010
Poland,Australia,2014,13,1,31/12/2014
Portugal,Australia,1999,91.196,1,31/12/1999
Portugal,Australia,2005,505.902,1,31/12/2005
Portugal,Australia,2007,184.44,1,31/12/2007
Portugal,Australia,2013,0.932,1,31/12/2013
Romania,Australia,2006,132.553,1,31/12/2006
Romania,Australia,2010,23.968,1,31/12/2010
Russian Fed,Australia,1994,10.303,1,31/12/1994
Russian Fed,Australia,1995,2.304,1,31/12/1995
Russian Fed,Australia,2006,0.6,1,31/12/2006
Russian Fed,Australia,2008,9.25,1,31/12/2008
Russian Fed,Australia,2011,59.224,3,31/12/2011
Russian Fed,Australia,2012,6.536,2,31/12/2012
Saudi Arabia,Australia,2011,0.8,1,31/12/2011
Saudi Arabia,Australia,2012,11.981,1,31/12/2012
Sierra Leone,Australia,1993,34,1,31/12/1993
Sierra Leone,Australia,2011,52.264,1,31/12/2011
Singapore,Australia,1990,87.729,1,31/12/1990
Singapore,Australia,1991,0.608,1,31/12/1991
Singapore,Australia,1993,23.877,1,31/12/1993
Singapore,Australia,1994,32.579,3,31/12/1994
Singapore,Australia,1996,48.251,2,31/12/1996
Singapore,Australia,1997,4.907,2,31/12/1997
Singapore,Australia,1998,22.888,2,31/12/1998
Singapore,Australia,1999,35.452,2,31/12/1999
Singapore,Australia,2000,0.49,1,31/12/2000
Singapore,Australia,2001,8.827,1,31/12/2001
Singapore,Australia,2002,2.459,2,31/12/2002
Singapore,Australia,2003,74.192,1,31/12/2003
Singapore,Australia,2004,5.486,3,31/12/2004
Singapore,Australia,2005,78.994,8,31/12/2005
Singapore,Australia,2006,195.654,8,31/12/2006
Singapore,Australia,2007,37.658,6,31/12/2007
Singapore,Australia,2008,82.33,4,31/12/2008
Singapore,Australia,2009,69.044,6,31/12/2009
Singapore,Australia,2010,171.322,8,31/12/2010
Singapore,Australia,2011,65.938,2,31/12/2011
Singapore,Australia,2012,153.521,4,31/12/2012
Singapore,Australia,2013,169.828,6,31/12/2013
Singapore,Australia,2014,1475.751,8,31/12/2014
Slovenia,Australia,2005,47.236,1,31/12/2005
South Africa,Australia,1994,4.83,2,31/12/1994
South Africa,Australia,1995,3.119,2,31/12/1995
South Africa,Australia,1996,6.5,1,31/12/1996
South Africa,Australia,1998,15.656,1,31/12/1998
South Africa,Australia,2001,16.638,3,31/12/2001
South Africa,Australia,2002,4.691,1,31/12/2002
South Africa,Australia,2003,11.206,5,31/12/2003
South Africa,Australia,2004,41.383,10,31/12/2004
South Africa,Australia,2005,33.177,6,31/12/2005
South Africa,Australia,2006,88.198,9,31/12/2006
South Africa,Australia,2007,324.031,7,31/12/2007
South Africa,Australia,2008,436.846,10,31/12/2008
South Africa,Australia,2009,32.724,4,31/12/2009
South Africa,Australia,2010,234.01,6,31/12/2010
South Africa,Australia,2011,343.583,5,31/12/2011
South Africa,Australia,2012,587.865,6,31/12/2012
South Africa,Australia,2013,16.786,2,31/12/2013
South Africa,Australia,2014,19.148,2,31/12/2014
South Korea,Australia,1997,55.775,1,31/12/1997
South Korea,Australia,1998,511.109,1,31/12/1998
South Korea,Australia,2000,17.207,1,31/12/2000
South Korea,Australia,2001,71.774,1,31/12/2001
South Korea,Australia,2004,107.441,1,31/12/2004
South Korea,Australia,2005,294,1,31/12/2005
South Korea,Australia,2007,1.749,1,31/12/2007
South Korea,Australia,2009,0.499,1,31/12/2009
South Korea,Australia,2010,5.327,1,31/12/2010
South Korea,Australia,2011,637.373,3,31/12/2011
